state,party
Alabama,Republican
California,Democratic
Colorado,Democratic
Connecticut,Democratic
Delaware,Democratic
Hawaii,Democratic
Illinois,Democratic
Kansas,Democratic
Kentucky,Democratic
Louisiana,Democratic
Maine,Democratic
Michigan,Democratic
Nevada,Democratic
New Jersey,Democratic
New Mexico,Democratic
New York,Democratic
North Carolina,Democratic
Oregon,Democratic
Pennsylvania,Democratic
Rhode Island,Democratic
Virginia,Democratic
Washington,Democratic
Wisconsin,Democratic
Minnesota,Democratic
Alaska,Republican
Arizona,Republican
Arkansas,Republican
Florida,Republican
Georgia,Republican
Idaho,Republican
Indiana,Republican
Iowa,Republican
Maryland,Republican
Massachusetts,Republican
Mississippi,Republican
Missouri,Republican
Montana,Republican
Nebraska,Republican
New Hampshire,Republican
North Dakota,Republican
Ohio,Republican
Oklahoma,Republican
South Carolina,Republican
South Dakota,Republican
Tennessee,Republican
Texas,Republican
Utah,Republican
Vermont,Republican
West Virginia,Republican
Wyoming,Republican
